,,,,,,,,,,,,"""=LOOKUP(RAND(), $I$51:$I$54, $G$51:$G$54)""",,,,,,,,,,,Distance Between (km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,15,193.15,172.7666667,165.6833333,135.7,149.2333333,139.5333333,115.35,109,106.0833333,101.9666667,29.56666667,101.25,17.1,109.7333333,88.56666667,0,87.33333333,12.61666667,96.11666667,20.03333333,181.0833333,91.48333333,86.41666667,13.18333333,97.58333333,162.5333333,87.41666667,87.35,91.66666667,86.9,93.9,80.68333333,98.03333333,79.6,247.5833333,132.3333333,107.4,79.58333333,75.4,98.58333333,80.75,81.78333333,77.53333333,68.1,64.63333333,77.65,65.4,94.31666667,71.96666667,57.45,349.2,54.06666667,107.8,60.96666667,68.98333333,55.13333333,80.9,114.5333333,52.41666667,64.93333333,32.21666667,71.41666667,41.71666667,71.55,56.7,43.53333333,38.41666667,65.6,35.45,111.1333333,61.26666667,143.7666667,43.46666667,45.06666667,142.15,181.1333333,48.45,94.08333333,75.68333333,153.2833333,63.26666667,82.46666667,86.1,75.63333333,99.4,80.21666667,86.13333333,86.68333333,88.7,88.46666667,105.7333333,81.58333333,178.8666667,283.6333333,108.6,125.05,158.85,271.35,122.9833333,111.1833333,116.6333333,109.1,131.35,465.2833333,192.1166667,130.65,164.1333333,170.7166667,160.7666667,561.4333333,179.8333333,177.9333333,466.7,453.7166667,61.68333333,192.1166667,172.2333333,191.0666667,164.45,136.8166667,131.1666667,139.5166667,96.55,16.2,13.55,91.98333333,183.0166667,86.56666667,161.95,85.88333333,87.05,84.36666667,83.2,83.16666667,71.93333333,131.7666667,253.0333333,77.95,74.81666667,62.56666667,59.38333333,23.13333333,22.46666667,108.9833333,52.83333333,47.18333333,69.51666667,114.6,140.2666667,55.85,36.58333333,38.53333333,179.8,94.5,153.2,59,88.4,75.6,83.03333333,85.31666667,81.45,132.35,88.8,178.2666667,271.0333333,106.8333333,138.9166667,183.1333333,163.1666667,172.5,182.8833333,465.7166667,453.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,16,117.2333333,96.85,89.76666667,59.8,70.6,60.9,37.4,30.36666667,30.16666667,23.33333333,109.7166667,26.93333333,97.25,32.01666667,19,89.83333333,0,91.11666667,32.03333333,98.63333333,130.75,12.53333333,24.68333333,87.75,19.16666667,112.1833333,11.95,23.21666667,31.93333333,19.95,25.58333333,16.63333333,29.71666667,49.43333333,197.2333333,81.98333333,39.08333333,20.53333333,37.76666667,36.3,27.63333333,26.81666667,26.43333333,28.51666667,39.33333333,27.31666667,41.51666667,43.96666667,30.03333333,40.83333333,298.85,44.96666667,57.45,42.05,31.55,44.33333333,38.81666667,64.18333333,49.63333333,35.06666667,62.8,41.53333333,73.75,41.68333333,43.56666667,53.73333333,59.25,43.68333333,65.9,60.78333333,43.01666667,93.41666667,73.23333333,62.73333333,91.8,130.8,70.43333333,64.21666667,68.38333333,110.25,85.26666667,75.16666667,113.6,68.33333333,89.01666667,72.91666667,78.85,79.38333333,81.4,81.16666667,117.1666667,93.01666667,149,233.3,101.3,117.75,138.6333333,221,134.4166667,122.6,128.0666667,120.5333333,141.2666667,414.95,172.7333333,142.0833333,156.8333333,182.15,172.2,511.0833333,191.25,189.35,416.3666667,431.8833333,37.26666667,116.2,96.31666667,112.4333333,88.55,60.9,55.25,60.88333333,24.53333333,96.35,93.7,19.03333333,132.6666667,11.11666667,111.6,14.53333333,25.5,19.03333333,13.96666667,38.9,38.98333333,81.41666667,202.6833333,27.61666667,24.46666667,38.03333333,39.11666667,70.28333333,70.58333333,58.65,47.41666667,52.26666667,32.08333333,64.25,89.91666667,41.91666667,57.43333333,70.56666667,129.45,64.63333333,110.1666667,81,115.25,68.3,75.73333333,78.01666667,92.86666667,113.1833333,100.2166667,148.4,220.6833333,118.2666667,137.7666667,166.3333333,155.8666667,183.9333333,194.3,415.3833333,429.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,17,194.0666667,173.6833333,166.6,136.6166667,150.15,140.45,116.2666667,109.9166667,107,102.8833333,30.75,102.1666667,18.28333333,110.65,89.48333333,12.86666667,88.25,0,97.03333333,13.6,182.0166667,92.4,87.33333333,9.483333333,98.5,163.45,88.33333333,88.26666667,92.6,87.81666667,94.83333333,81.6,98.95,80.53333333,248.5,133.25,108.3166667,80.5,76.33333333,99.5,81.66666667,82.7,78.45,69.01666667,65.55,78.58333333,66.31666667,95.23333333,72.88333333,58.36666667,350.1166667,54.98333333,108.7166667,61.88333333,69.9,56.05,81.81666667,115.45,53.33333333,65.85,33.13333333,72.33333333,42.63333333,72.48333333,57.63333333,44.45,39.33333333,66.51666667,36.36666667,112.05,62.18333333,144.6833333,44.38333333,45.98333333,143.0666667,182.05,49.36666667,95,76.6,154.2,64.18333333,83.38333333,84.08333333,76.55,100.3166667,81.13333333,87.06666667,87.61666667,89.61666667,89.38333333,106.65,82.5,179.7833333,284.5666667,109.5166667,125.9666667,159.7666667,272.2666667,123.9,112.1,117.5666667,110.0333333,132.2666667,466.2,193.0333333,131.5833333,165.05,171.6333333,161.6833333,562.35,180.75,178.85,467.6333333,454.6333333,62.6,193.0333333,173.15,191.9833333,165.3833333,137.7333333,132.0833333,140.4333333,97.46666667,16.65,13.48333333,92.9,183.9333333,87.48333333,162.8666667,86.8,87.96666667,85.28333333,84.11666667,84.08333333,72.86666667,132.6833333,253.95,78.88333333,75.73333333,63.48333333,60.31666667,24.05,23.4,109.9,53.76666667,48.1,70.43333333,115.5166667,141.1833333,56.76666667,37.51666667,39.45,180.7166667,95.41666667,154.1166667,59.93333333,86.38333333,76.51666667,83.96666667,86.23333333,82.36666667,133.2666667,89.71666667,179.2,271.95,107.75,139.8333333,184.05,164.0833333,173.4166667,183.8,466.65,454.0666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,18,118.15,97.76666667,90.68333333,60.7,83.06666667,73.36666667,40.35,42.2,31.08333333,31.75,116.8833333,26.25,104.4166667,48.35,15.43333333,96.98333333,31.95,98.26666667,0,105.8,142.15,23.71666667,14.88333333,94.91666667,40.65,123.5833333,34.1,19.11666667,16.75,31.35,36.98333333,28.05,41.11666667,47.7,208.6333333,93.4,50.46666667,31.95,44.88333333,47.68333333,37.11666667,38.21666667,37.85,34.08333333,44.06666667,38.71666667,46.25,55.36666667,41.43333333,47.68333333,310.25,51.81666667,68.86666667,49.36666667,42.95,51.18333333,50.21666667,75.58333333,56.78333333,46.46666667,69.96666667,52.95,80.91666667,53.08333333,50.68333333,60.88333333,66.06666667,55.08333333,73.06666667,72.18333333,54.2,104.8333333,80.4,69.9,103.2,142.2,77.6,75.61666667,79.7,121.65,92.41666667,86.48333333,120.75,79.65,100.3333333,84.23333333,90.15,90.7,92.71666667,92.48333333,128.4833333,104.3333333,160.4,244.7,112.6166667,129.0666667,150.0333333,232.4166667,145.7333333,133.9166667,139.3833333,131.85,152.5666667,426.35,184.1333333,153.4,168.15,193.4666667,183.5166667,522.4833333,202.5666667,200.6666667,427.7666667,443.2833333,45.83333333,117.1166667,97.23333333,124.9,89.45,61.81666667,56.16666667,73.35,21.53333333,103.5166667,100.8666667,17.55,144.0666667,33.25,123,29.66666667,25.75,20.66666667,26.41666667,37.25,37.35,92.83333333,214.1,39.01666667,35.86666667,42.76666667,43.86666667,77.45,77.73333333,70.05,54.45,57.11666667,43.48333333,75.65,101.3333333,49.23333333,64.58333333,77.73333333,140.85,76.03333333,121.5666667,88.16666667,122.4166667,79.61666667,87.05,89.33333333,104.1833333,124.5833333,111.5333333,159.8,232.0833333,129.5833333,149.0833333,177.7333333,167.1833333,195.25,205.6166667,426.7833333,441.1333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,19,203.0166667,182.65,175.5666667,145.5833333,159.1,149.4166667,125.2333333,118.8833333,115.9666667,111.85,40.95,111.1166667,20.36666667,119.6166667,98.45,20.58333333,97.21666667,13.98333333,105.9833333,0,190.9666667,101.3666667,96.3,18.45,107.45,172.4,97.28333333,97.23333333,101.55,96.76666667,103.7833333,90.55,107.9166667,89.48333333,257.4666667,142.2166667,117.2666667,89.46666667,85.28333333,108.4666667,90.63333333,91.66666667,87.41666667,77.98333333,74.51666667,87.53333333,75.26666667,104.2,81.83333333,67.31666667,359.0666667,63.95,117.6833333,70.83333333,78.85,65.01666667,90.76666667,124.4,62.28333333,74.81666667,42.1,81.28333333,53.06666667,81.43333333,66.58333333,53.4,48.28333333,75.48333333,45.33333333,121.0166667,71.13333333,153.65,53.33333333,54.95,152.0333333,191.0166667,58.33333333,103.9666667,85.56666667,163.15,73.15,92.33333333,80.66666667,85.51666667,109.2833333,90.1,96.01666667,96.56666667,98.58333333,98.35,115.3833333,91.46666667,188.75,293.5166667,118.4833333,134.9166667,168.7333333,281.2333333,132.8666667,121.0666667,126.5166667,118.9833333,141.2333333,475.1666667,202,140.5333333,174,180.6,170.65,571.3166667,189.7,187.8166667,476.5833333,463.5833333,71.56666667,202,182.1166667,200.9333333,174.3333333,146.7,141.05,149.4,106.4333333,23,19.83333333,101.85,192.9,96.45,171.8333333,95.75,96.93333333,94.25,93.06666667,93.03333333,81.81666667,141.65,262.9166667,87.83333333,84.7,72.45,69.26666667,33.01666667,32.35,118.8666667,62.71666667,57.06666667,79.38333333,124.4833333,150.15,65.73333333,46.46666667,48.4,189.6833333,104.3833333,163.0833333,68.88333333,82.96666667,85.46666667,92.91666667,95.18333333,91.31666667,142.2333333,98.68333333,188.15,280.9166667,116.7166667,148.8,193,173.05,182.3833333,192.7666667,475.6,463.0333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,20,222.4666667,200.1166667,190.4833333,160.5,137.85,141.2166667,137.4166667,130.4,134.8166667,124.4,201.45,132.9333333,188.9666667,113.6333333,136.0666667,181.55,129.1833333,182.8333333,143.6,190.3666667,0,133.3333333,133.9166667,179.4833333,130.2333333,24.1,129.2666667,134.85,140.2333333,129.35,119.6,122.5333333,116.9,141.1333333,71.56666667,56.48333333,113.85,121.4333333,129.4666667,110.0166667,122.6,116.25,117.3166667,120.2166667,130.3333333,110.55,132.5166667,96.58333333,121.75,132.5666667,173.1666667,136.7,79.68333333,133.7833333,123.2833333,136.0666667,121.25,77.5,141.35,126.7833333,154.5166667,133.2666667,165.4833333,133.4166667,135.2833333,145.45,150.9666667,135.4166667,157.6333333,99.53333333,134.7333333,89.6,164.9666667,154.45,99.38333333,59.75,162.1666667,131.3666667,160.1166667,119.5,176.9833333,166.8833333,205.3166667,160.0666667,164.4,164.65,170.5666667,171.1166667,173.1333333,172.9,208.8833333,184.7333333,167.45,160.0833333,193.0333333,191.45,169,149.9666667,226.1333333,214.3333333,219.8,212.25,232.9833333,316.9,201.15,233.8,230.6333333,273.8666667,263.9166667,385.4,282.9833333,281.0833333,345.3333333,360.85,129,221.45,200.85,168.4833333,189.25,161.6166667,155.9666667,142.9666667,135.3166667,188.0833333,185.4333333,139.4666667,5.916666667,128.4333333,23.53333333,127.7333333,133.8,127.3333333,125.05,147.2166667,139.0666667,58.75,77.01666667,112.4166667,111.5666667,129.0333333,130.1166667,162,162.3,82.13333333,139.1333333,143.3833333,123.8166667,77.56666667,78.21666667,133.65,149.15,162.3,58.41666667,131.7833333,119.4166667,172.7333333,206.9833333,160.0166667,167.4666667,169.7333333,184.6,159.0833333,191.95,166.7666667,149.65,209.9833333,229.4833333,209.9833333,229.6666667,275.65,286.0333333,344.35,358.6833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,21,121.2333333,100.85,93.76666667,63.78333333,74.56666667,64.88333333,41.36666667,34.35,34.16666667,27.31666667,112.7333333,29.31666667,100.2666667,35.08333333,14.8,92.85,12.36666667,94.13333333,23.4,101.65,133.7666667,0,17.73333333,90.76666667,26.31666667,115.2,14.53333333,17.43333333,27.65,22.96666667,28.6,19.65,32.73333333,49.76666667,200.25,85,42.1,23.55,40.78333333,39.31666667,30.65,29.83333333,29.45,31.53333333,42.35,30.33333333,44.53333333,46.98333333,33.05,43.85,301.8666667,47.98333333,60.46666667,45.06666667,34.56666667,47.35,41.83333333,67.2,52.65,38.08333333,65.81666667,44.55,76.76666667,44.7,46.58333333,56.75,62.26666667,46.7,68.91666667,63.8,46.03333333,96.43333333,76.25,65.75,94.81666667,133.8,73.45,67.23333333,71.4,113.2666667,88.28333333,78.18333333,116.6166667,71.35,92.03333333,75.93333333,81.85,82.4,84.41666667,84.18333333,120.1833333,96.03333333,152.0166667,236.3166667,104.3166667,120.7666667,141.6333333,224.0166667,137.4333333,125.6166667,131.0833333,123.55,144.2666667,417.95,175.75,145.1,159.85,185.1666667,175.2166667,514.1,194.2666667,192.3666667,419.3833333,434.9,40.28333333,120.2,100.3166667,116.4,92.53333333,64.9,59.25,64.86666667,24.61666667,99.36666667,96.71666667,20,135.6833333,13.7,114.6166667,17.55,25,20.21666667,16.98333333,38.4,38.48333333,84.43333333,205.7,30.63333333,27.48333333,41.05,42.13333333,73.3,73.58333333,61.65,50.43333333,55.28333333,35.1,67.26666667,92.93333333,44.93333333,60.45,73.58333333,132.4666667,67.65,113.1833333,84.01666667,118.2666667,71.31666667,78.75,81.03333333,95.88333333,116.2,103.2333333,151.4166667,223.7,121.2833333,140.7833333,169.35,158.8833333,186.95,197.3166667,418.4,432.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,22,112.8833333,92.5,85.43333333,55.45,77.8,68.1,35.08333333,36.93333333,25.81666667,26.48333333,106.3833333,20.98333333,93.91666667,43.1,7.966666667,86.48333333,20.95,87.76666667,14.78333333,95.3,131.9666667,17.71666667,0,84.41666667,30.46666667,113.4,23,8.3,17.28333333,21.16666667,26.8,17.86666667,30.93333333,39.4,198.4666667,83.21666667,40.28333333,21.76666667,34.05,37.51666667,26.3,28.03333333,27.66666667,23.58333333,33.56666667,28.53333333,35.75,45.2,31.25,37.18333333,300.0666667,41.31666667,58.68333333,38.86666667,32.76666667,40.68333333,40.03333333,65.4,46.28333333,36.28333333,59.46666667,42.76666667,70.41666667,42.9,40.18333333,50.38333333,55.56666667,44.9,62.56666667,62,43.7,94.65,69.9,59.4,93.03333333,132.0166667,67.1,65.43333333,69.2,111.4833333,81.91666667,75.98333333,110.25,69.15,89.83333333,73.73333333,79.65,80.2,82.21666667,81.98333333,117.9833333,93.83333333,150.2166667,234.5166667,102.1166667,118.5666667,139.85,222.2333333,135.2333333,123.4166667,128.8833333,121.35,142.0666667,416.1666667,173.95,142.9,157.65,182.9666667,173.0166667,512.3,192.0666667,190.1666667,417.5833333,433.1,35.33333333,111.85,91.96666667,119.6333333,84.2,56.56666667,50.91666667,68.1,16.28333333,93.01666667,90.36666667,11.66666667,133.9,22.15,112.8333333,19.5,15.33333333,10.48333333,16.23333333,28.73333333,28.81666667,82.65,203.9166667,28.83333333,25.7,32.26666667,33.36666667,66.95,67.23333333,59.86666667,43.95,46.61666667,33.3,65.46666667,91.15,38.73333333,54.08333333,67.23333333,130.6833333,65.85,111.4,77.66666667,111.9166667,69.11666667,76.55,78.83333333,93.68333333,114.4,101.0333333,149.6333333,221.9,119.0833333,138.5833333,167.55,156.6833333,184.75,195.1166667,416.6,430.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,23,192,171.6166667,164.55,134.5666667,148.0833333,138.4,114.2,107.85,104.9333333,100.8333333,34.1,100.1,21.63333333,108.5833333,87.43333333,14.26666667,86.18333333,10.05,94.96666667,17.56666667,179.95,90.35,85.26666667,0,96.43333333,161.3833333,86.26666667,86.21666667,90.53333333,85.75,92.76666667,79.53333333,96.9,78.46666667,246.45,131.2,106.25,78.43333333,74.26666667,97.43333333,79.61666667,80.65,76.38333333,66.96666667,63.48333333,76.51666667,64.25,93.16666667,70.81666667,56.3,348.05,52.93333333,106.6666667,59.81666667,67.83333333,54,79.75,113.3833333,51.26666667,63.78333333,31.06666667,70.26666667,40.56666667,70.41666667,55.56666667,42.38333333,37.26666667,64.46666667,34.3,109.9833333,60.11666667,142.6333333,42.31666667,43.91666667,141.0166667,180,47.3,92.93333333,74.55,152.1333333,62.11666667,81.31666667,83.55,74.5,98.25,79.06666667,85,85.55,87.56666667,87.31666667,104.6,80.45,177.7333333,282.5,107.45,123.9,157.7166667,270.2166667,121.85,110.0333333,115.5,107.9666667,130.2166667,464.15,190.9666667,129.5166667,162.9833333,169.5833333,159.6333333,560.2833333,178.6833333,176.7833333,465.5666667,452.5666667,60.55,190.9833333,171.1,189.9166667,163.3166667,135.6833333,130.0333333,138.3833333,95.41666667,20.73333333,17.45,90.83333333,181.8666667,85.43333333,160.8,84.73333333,85.9,83.23333333,82.05,82.01666667,70.8,130.6333333,251.9,76.81666667,73.66666667,61.43333333,58.25,21.98333333,21.33333333,107.85,51.7,46.05,68.36666667,113.45,139.1333333,54.7,35.45,37.38333333,178.65,93.36666667,152.05,57.86666667,85.85,74.45,81.9,84.16666667,80.3,131.2,87.65,177.1333333,269.8833333,105.7,137.7666667,181.9833333,162.0166667,171.3666667,181.7333333,464.5833333,452.0166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,24,125.2,104.8166667,97.73333333,67.76666667,78.56666667,68.86666667,45.36666667,38.33333333,38.13333333,31.3,117.0666667,34.9,104.6,22.83333333,30.56666667,97.16666667,16.88333333,98.45,42.33333333,105.9833333,129.1666667,25.6,32.46666667,95.1,0,110.6,17.98333333,33.15,38.58333333,21.06666667,19.66666667,23.98333333,23.78333333,55.98333333,195.6666667,84.2,33.15,27.88333333,45.11666667,30.36666667,34.98333333,32.96666667,33.78333333,35.86666667,46.66666667,34.65,48.85,44.15,37.36666667,48.18333333,297.2666667,52.31666667,59.66666667,49.4,38.9,51.68333333,46.16666667,66.4,56.96666667,42.4,70.15,48.88333333,81.1,49.03333333,50.9,61.06666667,66.6,51.03333333,73.25,63,50.36666667,95.63333333,80.58333333,70.06666667,94.01666667,133,77.78333333,72.4,75.73333333,112.4666667,92.6,82.5,120.9333333,75.68333333,96.35,80.26666667,86.18333333,86.73333333,88.75,88.51666667,124.5,100.35,155.6166667,235.5,108.65,125.0833333,146.95,223.2166667,141.75,129.95,135.4166667,127.8666667,148.6,417.15,180.05,149.4333333,164.1666667,189.4833333,179.5333333,509.5,198.6,196.7,418.5833333,434.1,44.61666667,124.1666667,104.2833333,120.4,96.51666667,68.86666667,63.23333333,68.86666667,32.1,103.7,101.05,30.53333333,131.0833333,17.05,110.0166667,21.28333333,32.15,25.68333333,23.16666667,45.55,45.63333333,83.63333333,201.1166667,34.95,31.81666667,45.36666667,46.46666667,77.61666667,77.91666667,60.85,54.75,59.61666667,39.43333333,66.46666667,92.13333333,49.26666667,64.76666667,77.91666667,131.6666667,72.81666667,112.3833333,88.35,122.6,75.63333333,83.08333333,85.35,100.2166667,120.5166667,107.5666667,155.0166667,222.9,125.6,145.1166667,173.6666667,163.2166667,191.2666667,201.65,417.6,431.9333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,25,198.6166667,178.25,171.1666667,141.1833333,118.5333333,121.9,118.1,111.0833333,115.5,105.0833333,182.1333333,113.6166667,169.6666667,94.31666667,116.75,162.2333333,109.8666667,163.5166667,124.3,171.05,24.33333333,114.0333333,114.6,160.1666667,110.9166667,0,109.95,115.5333333,120.9333333,110.05,100.2833333,103.2166667,97.58333333,121.8166667,90.83333333,37.16666667,94.53333333,102.1166667,110.1666667,90.71666667,103.3,96.93333333,98,100.9,111.0166667,91.23333333,113.2,77.26666667,102.45,113.25,192.45,117.3833333,60.36666667,114.4666667,103.9666667,116.75,101.9333333,58.18333333,122.0333333,107.4666667,135.2166667,113.95,146.1666667,114.1,115.9666667,126.1333333,131.6666667,116.1,138.3166667,80.23333333,115.4333333,70.28333333,145.65,135.15,80.06666667,63.08333333,142.85,112.05,140.8,100.2,157.6666667,147.5666667,186,140.75,145.0833333,145.3333333,151.25,151.8,153.8166667,153.5833333,189.5833333,165.4333333,148.1333333,165.5833333,173.7166667,172.15,149.6833333,153.3,206.8166667,195.0166667,200.4833333,192.95,213.6666667,336.1666667,181.8333333,214.5,211.3166667,254.5666667,244.6,404.6833333,263.6666667,261.7666667,348.65,364.1666667,109.6833333,197.6,177.7166667,156.8166667,169.9333333,142.3,136.65,123.65,116,168.7666667,166.1166667,120.1666667,26.26666667,109.1166667,1.116666667,108.4166667,114.5,108.0166667,105.7333333,127.9,119.75,39.45,96.28333333,93.1,92.25,109.7166667,110.8,142.7,142.9833333,62.81666667,119.8333333,124.0666667,104.5,58.25,60.68333333,114.3333333,129.85,142.9833333,61.73333333,112.4666667,100.1166667,153.4166667,187.6666667,140.7,148.15,150.4333333,165.2833333,139.7666667,172.6333333,147.45,152.9666667,190.6666667,210.1833333,190.6666667,210.35,256.3333333,266.7166667,347.6666667,362.0166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,26,118.5333333,98.15,91.08333333,61.1,71.9,62.2,38.7,31.66666667,31.46666667,24.65,106.6,28.23333333,94.11666667,32.4,24.8,86.7,10,87.98333333,33.53333333,95.5,127.6166667,13.83333333,23.23333333,84.63333333,18.68333333,109.05,0,20.61666667,28.8,16.83333333,22.46666667,13.51666667,26.6,46.31666667,194.1166667,78.86666667,35.95,17.41666667,34.65,33.16666667,24.5,23.68333333,23.31666667,25.4,36.2,24.18333333,38.38333333,40.85,26.9,37.7,295.7166667,41.85,54.33333333,38.93333333,28.43333333,41.21666667,35.68333333,61.05,46.5,31.93333333,59.66666667,38.41666667,70.63333333,38.55,40.43333333,50.6,56.11666667,40.56666667,62.78333333,57.66666667,39.88333333,90.3,70.11666667,59.6,88.68333333,127.6666667,67.31666667,61.08333333,65.26666667,107.1333333,82.13333333,72.03333333,110.4666667,65.21666667,85.88333333,69.78333333,75.71666667,76.26666667,78.28333333,78.03333333,114.0333333,89.88333333,145.8666667,230.1666667,98.16666667,114.6166667,135.5,217.8833333,131.2833333,119.4833333,124.9333333,117.4,138.1333333,411.8166667,169.6,138.95,153.7,179.0166667,169.0666667,507.95,188.1333333,186.2333333,413.2333333,428.75,34.15,117.5166667,97.63333333,113.7333333,89.85,62.21666667,56.56666667,62.2,25.43333333,93.23333333,90.58333333,25.3,129.55,2.016666667,108.4833333,7.083333333,22.36666667,15.9,10.83333333,35.78333333,35.86666667,78.3,199.5666667,24.48333333,21.35,34.9,35.98333333,67.15,67.45,55.51666667,44.28333333,49.15,28.95,61.11666667,86.8,38.78333333,54.3,67.45,126.3333333,61.5,107.05,77.86666667,112.1333333,65.16666667,72.61666667,74.88333333,89.75,110.05,97.1,145.2833333,217.55,115.1333333,134.6333333,163.2,152.7333333,180.8,191.1833333,412.25,426.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,27,115.75,95.36666667,88.3,58.31666667,80.66666667,70.96666667,37.95,39.8,28.68333333,29.35,106.6166667,23.85,94.15,42.63333333,10.83333333,86.73333333,20.23333333,88.01666667,18.3,95.53333333,131.5333333,17.93333333,8.433333333,84.65,30.03333333,112.9666667,20.23333333,0,16.75,20.73333333,26.36666667,17.43333333,30.5,38.96666667,198.0333333,82.76666667,39.85,21.33333333,33.61666667,37.06666667,25.86666667,27.6,27.23333333,23.7,33.81666667,28.1,36,44.75,30.81666667,37.41666667,299.6333333,41.55,58.25,39.11666667,32.33333333,40.91666667,39.6,64.96666667,46.53333333,35.85,59.7,42.33333333,70.65,42.46666667,40.43333333,50.63333333,55.8,44.46666667,62.8,61.56666667,43.95,94.2,70.13333333,59.63333333,92.58333333,131.5833333,67.33333333,65,69.43333333,111.0333333,82.16666667,76.21666667,110.5,69.4,90.06666667,73.96666667,79.9,80.45,82.46666667,82.21666667,118.2166667,94.06666667,149.7833333,234.0833333,102.35,118.8,139.4166667,221.8,135.4666667,123.6666667,129.1166667,121.5833333,142.3166667,415.7333333,173.5166667,143.1333333,157.8833333,183.2,173.25,511.8666667,192.3166667,190.4166667,417.15,432.6666667,35.56666667,114.7166667,94.83333333,122.5,87.06666667,59.43333333,53.78333333,70.96666667,19.15,93.25,90.6,14.53333333,133.45,20.21666667,112.3833333,19.11666667,14.9,11.71666667,15.8,28.3,28.38333333,82.21666667,203.4833333,28.4,25.25,32.51666667,33.6,67.18333333,67.46666667,59.43333333,44.18333333,46.86666667,32.86666667,65.03333333,90.71666667,38.96666667,54.33333333,67.46666667,130.2333333,65.41666667,110.95,77.9,112.15,69.35,76.8,79.06666667,93.91666667,113.9666667,101.2833333,149.1833333,221.4666667,119.3166667,138.8166667,167.1166667,156.9166667,184.9833333,195.3666667,416.1666667,430.5166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,28,123.9,103.5166667,96.43333333,66.45,88.81666667,79.11666667,46.1,47.95,36.83333333,37.5,111.6,32,99.13333333,48.65,18.98333333,91.71666667,26.25,93,17.08333333,100.5166667,137.2666667,28.06666667,16.56666667,89.63333333,35.78333333,118.7,26.33333333,17.11666667,0,26.46666667,32.1,23.16666667,36.23333333,34.23333333,203.7666667,88.51666667,45.6,27.06666667,39.13333333,42.81666667,32.36666667,33.33333333,32.96666667,30.21666667,37.43333333,33.83333333,39.46666667,50.5,36.55,43.93333333,305.3666667,48.26666667,63.98333333,45.61666667,38.08333333,47.43333333,45.35,70.7,51.51666667,41.58333333,64.68333333,48.06666667,75.63333333,48.21666667,46.93333333,57.13333333,58.6,50.21666667,67.8,67.31666667,50.46666667,99.95,75.33333333,64.81666667,98.33333333,137.3166667,72.53333333,70.73333333,75.95,116.7833333,87.35,82.73333333,115.6833333,75.9,96.58333333,80.48333333,86.41666667,86.96666667,88.96666667,88.73333333,124.7333333,100.5833333,155.5333333,239.8166667,108.8666667,125.3166667,145.15,227.5333333,141.9833333,130.1833333,135.6333333,128.1,148.8333333,421.4666667,179.25,149.65,164.4,189.7166667,179.7666667,517.6166667,198.8166667,196.9333333,422.8833333,438.4166667,42.08333333,122.8666667,102.9833333,130.65,95.2,67.56666667,61.91666667,79.1,27.28333333,98.25,95.6,22.66666667,139.2,25.48333333,118.1333333,24.8,13.11666667,15.8,21.53333333,23.78333333,23.88333333,87.95,209.2166667,34.13333333,31,34.85,36.4,72.16666667,72.46666667,65.16666667,47.63333333,49.66666667,38.61666667,70.78333333,96.45,45.48333333,60.6,72.45,135.9833333,71.15,116.7,83.08333333,117.35,75.86666667,83.31666667,85.58333333,100.4333333,119.7,107.8,154.9333333,227.2166667,125.8333333,145.3333333,172.85,163.4333333,191.5,201.8833333,421.9,436.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
